               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11704,            0.031903,            0.040683,           0.0044438,             0.44364,           0.0054702,           0.0013568,             0.11656,             0.01908,            0.040763,              0.0919,              0.0009,              0.0009
                   1,             0.10704,            0.039465,            0.039366,            0.005767,              0.6066,            0.013872,           0.0033362,            0.097573,            0.024822,            0.038351,            0.082896,           0.0018962,           0.0018962
                   2,            0.098703,            0.047773,            0.037022,            0.047116,             0.24391,            0.041024,            0.010851,            0.087055,            0.026716,            0.036272,            0.073889,           0.0028885,           0.0028885
                   3,            0.090876,            0.044044,            0.034398,             0.14296,             0.26114,            0.075952,            0.021306,             0.07889,            0.026243,            0.034543,            0.064877,           0.0038768,           0.0038768
                   4,            0.080128,             0.04347,            0.031523,             0.49284,             0.24118,             0.15076,            0.042767,            0.078181,            0.032021,            0.033479,            0.055861,           0.0048612,           0.0048612
                   5,            0.077606,            0.042952,            0.028631,             0.48381,             0.31789,             0.15563,            0.047992,              0.0741,            0.035401,            0.029182,            0.046842,           0.0058416,           0.0058416
                   6,             0.07321,            0.038176,            0.027363,             0.20024,             0.44044,             0.14194,            0.053312,            0.074277,            0.029987,            0.024254,            0.037818,            0.006818,            0.006818
                   7,            0.071085,            0.043673,            0.024028,             0.26995,             0.39696,             0.25885,            0.072135,             0.06686,             0.02836,            0.019531,            0.028791,           0.0077905,           0.0077905
                   8,            0.070293,            0.040269,            0.020192,             0.33985,             0.46487,             0.35581,             0.12219,            0.067823,            0.028274,            0.016229,            0.019759,            0.008759,            0.008759
                   9,            0.068368,            0.040545,            0.019388,             0.27069,             0.38102,             0.28824,            0.094162,            0.072497,            0.026779,            0.012616,            0.010724,           0.0097236,           0.0097236
                  10,            0.067412,            0.037439,            0.017666,             0.36385,              0.4598,             0.38643,             0.14502,            0.069022,            0.024135,            0.012656,            0.009802,            0.009802,            0.009802
                  11,            0.066712,            0.038789,            0.013566,             0.45708,             0.59512,             0.49379,             0.18405,            0.059252,            0.023404,           0.0084458,            0.009802,            0.009802,            0.009802
                  12,            0.062024,            0.035293,            0.010714,             0.34823,             0.45008,             0.37282,             0.11685,            0.070979,            0.022811,           0.0070392,           0.0097822,           0.0097822,           0.0097822
                  13,            0.065925,            0.033332,           0.0093045,             0.42419,             0.53425,             0.48714,             0.17908,            0.068257,            0.021684,           0.0049773,           0.0097624,           0.0097624,           0.0097624
                  14,            0.061235,            0.035131,           0.0085145,             0.36564,              0.6293,             0.47029,             0.17583,            0.062924,            0.021695,           0.0042816,           0.0097426,           0.0097426,           0.0097426
                  15,            0.058069,            0.039247,           0.0074569,              0.4641,             0.66587,               0.542,             0.21822,            0.056929,            0.023009,           0.0037191,           0.0097228,           0.0097228,           0.0097228
                  16,            0.056465,            0.033335,           0.0072905,             0.48155,             0.65448,             0.57186,             0.26534,            0.051452,            0.020668,           0.0037177,            0.009703,            0.009703,            0.009703
                  17,            0.054524,             0.03314,           0.0060155,             0.45303,             0.61798,             0.48941,               0.222,            0.053726,            0.019453,           0.0034453,           0.0096832,           0.0096832,           0.0096832
